Month,Price
Jan-2020,57.52
Feb-2020,50.54
Mar-2020,29.21
Apr-2020,16.55
May-2020,28.56
Jun-2020,38.31
Jul-2020,40.71
Aug-2020,42.34
Sep-2020,39.63
Oct-2020,39.4
Nov-2020,40.94
Dec-2020,47.02
